===========================
Normal rounds testing
===========================
Testing Alzette_b7e15162_k16_nr4, using 2^42 data, seeds 0000000000000123 0000000000000456
Trail (state words):
  80008000 c000c000 
  e682e682 c100c100 
  e081e081 c201c201 
  04030403 07000700 
  e280e280 03030303 
Found match #101 84ce302e:76ae8e11 (... follows trail? 1)
Found match #102 858849a8:f2a24c72 (... follows trail? 1)
Found match #103 a32808ca:e82ee2b1 (... follows trail? 1)
Found match #104 a54a6850:5292041d (... follows trail? 1)
Found match #105 89ec1c36:209922c3 (... follows trail? 1)
Found match #106 c5e04bea:5246d01a (... follows trail? 1)
Found match #107 bcd2ce00:42350059 (... follows trail? 1)
Found match #108 85f89da8:eac620fb (... follows trail? 1)
Found match #109 9e200eb2:f040a0d6 (... follows trail? 1)
Found match #110 a3ce1af0:60319c3e (... follows trail? 1)
Found match #111 fd825232:eaaa143b (... follows trail? 1)
Found match #112 bbb81f08:96909ca2 (... follows trail? 1)
Found match #113 31061986:66ff5a0f (... follows trail? 1)
Found match #114 3afa114e:5a17a605 (... follows trail? 1)
Found match #115 8b2e2a76:ae581a3f (... follows trail? 1)
Found match #116 82221958:c5399826 (... follows trail? 1)
Found match #117 afe4103a:5c040b5f (... follows trail? 1)
Found match #118 d6266432:441f8086 (... follows trail? 1)
Found match #119 ebe24d06:806e94af (... follows trail? 1)
Found match #120 4430803a:44a23435 (... follows trail? 1)
Found match #121 8cee1306:f6eca820 (... follows trail? 1)
Found match #122 ea64114c:02f4de6a (... follows trail? 1)
Found match #123 e86e01ce:c2092c02 (... follows trail? 1)
Found match #124 8e080104:de7334db (... follows trail? 1)
Found match #125 225e17d6:586c2263 (... follows trail? 1)
Found match #126 ed821cd0:403f943c (... follows trail? 1)
Found match #127 ad162308:e4efae2c (... follows trail? 1)
Found match #128 91bc26ce:ecfb120a (... follows trail? 1)
Found match #129 8e7c1b44:dcb3301e (... follows trail? 1)
Found match #130 9990402a:64e2502b (... follows trail? 1)
Found match #131 949c7106:70ea803c (... follows trail? 1)
Found match #132 853e1ef2:6c4f0f65 (... follows trail? 1)
Found match #133 15720c1a:74ecb415 (... follows trail? 1)
Found match #134 800e43e8:570b0aae (... follows trail? 1)
Found match #135 0e1e7176:5c872a07 (... follows trail? 1)
Found match #136 9076cd8c:57028ab4 (... follows trail? 1)
  failed follow at round 2/4: 06060606 != 06020602
  failed follow at round 3/4: e281e281 != e280e280
Found match #137 97f824a2:1abed6e1 (... follows trail? 0)
Found match #138 8cda0eb2:e65e24f9 (... follows trail? 1)
Found match #139 c8561c96:c0ad1879 (... follows trail? 1)
Found match #140 06bc2f36:def994f7 (... follows trail? 1)
Found match #141 a5cc2b20:e200a299 (... follows trail? 1)
Found match #142 a65679b8:8eae027a (... follows trail? 1)
Found match #143 e6422802:f4b98c8d (... follows trail? 1)
Found match #144 f62a246e:4009dadc (... follows trail? 1)
Found match #145 fb7e412c:e89dc626 (... follows trail? 1)
Found match #146 cd745036:c840102d (... follows trail? 1)
  failed follow at round 2/4: 06060606 != 06020602
  failed follow at round 3/4: e281e281 != e280e280
Found match #147 51eebaf8:5227903a (... follows trail? 0)
Found match #148 b93c3d92:c63f8c56 (... follows trail? 1)
Found match #149 820c3dcc:e86e206a (... follows trail? 1)
Found match #150 d9583eba:508b1e9c (... follows trail? 1)
Found match #151 a0f459de:6234ce2f (... follows trail? 1)
Found match #152 cc08c5f8:16308242 (... follows trail? 1)
Found match #153 83c851a6:c5980a2f (... follows trail? 1)
Found match #154 fe045946:c07d0cd6 (... follows trail? 1)
Found match #155 a2b21c92:52bdd8e2 (... follows trail? 1)
Found match #156 05bcbe4a:f0ea064f (... follows trail? 1)
Found match #157 96c2308e:e68ca0e9 (... follows trail? 1)
Found match #158 992428fe:e6c0983c (... follows trail? 1)
Found match #159 b564808c:ccae36fe (... follows trail? 1)
Found match #160 8c84550a:e6aaceb3 (... follows trail? 1)
Found match #161 d07c7642:d40eac00 (... follows trail? 1)
Found match #162 024e6308:ec47025a (... follows trail? 1)
Found match #163 a84a44f4:8e490264 (... follows trail? 1)
Found match #164 945c5040:56fece00 (... follows trail? 1)
Found match #165 b1fc1dbc:d8d65475 (... follows trail? 1)
Found match #166 f4f0c9f4:c4fa106e (... follows trail? 1)
Found match #167 b4e42b5e:e25cd463 (... follows trail? 1)
Found match #168 b3087afa:5a36b4a5 (... follows trail? 1)
Found match #169 e0503c6c:8644481c (... follows trail? 1)
Found match #170 a9761132:d8a09ef8 (... follows trail? 1)
